player_name,season,do_or_die_points,team_name,player_id,match_played,position_id,position_name,high_5s,avg_raid_points,raid_points,successful_raids,successful_tackles,super_10s,super_raids,super_tackles,tackle_points,total_points,z_score_do_or_die_points,z_score_high_5s,z_score_avg_raid_points,z_score_raid_points,z_score_successful_raids,z_score_successful_tackles,z_score_super_10s,z_score_super_raids,z_score_super_tackles,z_score_tackle_points,z_score_total_points
Ankush,7,2.0,U.P. Yoddha,2321,2,8.0,Raider,0.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,6.0,-0.16471028553489228,-0.44714607015407415,-0.6200142576264694,-0.2703363744751877,-0.2531171789671512,-0.5632507546763028,-0.3118428343415906,-0.5029957698887288,-0.7292021184632329,-0.8373549847127643,-0.4788406318596193
Anoop E.V.,2,0.0,U Mumba,221,2,8.0,Raider,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,-0.5575209349493357,-0.44714607015407415,-0.6200142576264694,-0.4625620132103664,-0.4437113894244882,-0.47132122735866794,-0.3118428343415906,-0.5029957698887288,-0.7292021184632329,0.3461635025046484,-0.6234396003780424
Anuj Kumar,6,0.0,Telugu Titans,2336,7,7.0,"Defender, right cover",0.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,0.71,6.0,-0.5575209349493357,-0.44714607015407415,-0.6200142576264694,-0.42411688546333065,-0.3960628368101539,-0.28746217272339813,-0.3118428343415906,-0.5029957698887288,-0.050289801273326475,0.0029431412115986538,-0.4788406318596193
Anup Kumar,6,1.0,Jaipur Pink Panthers,29,13,8.0,Raider,0.0,2.92,38.0,30.0,12.0,2.0,2.0,4.0,0.92,50.0,-0.361115610242114,-0.44714607015407415,0.9333426903438228,0.9983528411769913,0.9857451890055392,0.44797404581768124,1.259845050740026,1.4672881784837013,1.9864471502963925,0.2514820235272554,1.1117480218430345
Arjun Deshwal,7,10.0,U Mumba,2024,14,8.0,Raider,0.0,4.93,69.0,53.0,2.0,2.0,2.0,0.0,0.0,71.0,1.4065323121228814,-0.44714607015407415,2.002605520967209,2.190151801335099,2.0816618991352267,-0.47132122735866794,1.259845050740026,1.4672881784837013,-0.7292021184632329,-0.8373549847127643,1.8708926065647555
Armaan,7,2.0,Telugu Titans,2298,6,1.0,All Rounder,0.0,1.5,9.0,6.0,1.0,1.0,1.0,1.0,0.0,9.0,-0.16471028553489228,-0.44714607015407415,0.17794307865963963,-0.11655586348704482,-0.1578200737384827,-0.5632507546763028,0.47400110819921776,0.4821462042974862,-0.050289801273326475,-0.8373549847127643,-0.37039140547080196
Arun Kumar HN,7,0.0,Haryana Steelers,2318,2,8.0,Raider,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.5575209349493357,-0.44714607015407415,-0.6200142576264694,-0.3856717577162949,-0.3960628368101539,-0.6551802819939377,-0.3118428343415906,-0.5029957698887288,-0.7292021184632329,-0.8373549847127643,-0.6234396003780424
Ashish,7,1.0,Patna Pirates,2504,7,8.0,Raider,0.0,0.71,5.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,-0.361115610242114,-0.44714607015407415,-0.24231445178437783,-0.2703363744751877,-0.30076573158148545,-0.6551802819939377,-0.3118428343415906,-0.5029957698887288,-0.7292021184632329,-0.8373549847127643,-0.514990373989225
Ashish Chhokar,5,1.0,Haryana Steelers,195,5,8.0,Raider,0.0,1.8,9.0,6.0,3.0,0.0,1.0,0.0,0.6,12.0,-0.361115610242114,-0.44714607015407415,0.33753454591686144,-0.11655586348704482,-0.1578200737384827,-0.379391700041033,-0.3118428343415906,0.4821462042974862,-0.7292021184632329,-0.12724389238231673,-0.2619421790819847
Ashish Kumar,7,4.0,Bengaluru Bulls,202,6,1.0,All Rounder,1.0,0.0,5.0,3.0,3.0,0.0,0.0,2.0,0.83,5.0,0.22810036387955115,0.48667279458758345,-0.6200142576264694,-0.2703363744751877,-0.30076573158148545,-0.379391700041033,-0.3118428343415906,-0.5029957698887288,0.6286225159165799,0.14496535967768817,-0.514990373989225
